class,precision,recall,f1,support
accordion,0.125,0.25,0.16666666666666666,4
airplanes,0.15,1.0,0.2608695652173913,3
anchor,0.0,0.0,0.0,6
ant,0.0,0.0,0.0,5
background_google,0.0,0.0,0.0,6
barrel,0.3333333333333333,0.09090909090909091,0.14285714285714285,11
bass,0.0,0.0,0.0,3
beaver,0.0,0.0,0.0,5
binocular,0.0,0.0,0.0,5
bonsai,0.2,0.4,0.26666666666666666,5
brain,0.2,0.2,0.2,5
brontosaurus,0.0,0.0,0.0,6
buddha,0.3,0.5,0.375,6
butterfly,0.0,0.0,0.0,9
camera,0.0,0.0,0.0,10
cannon,0.0,0.0,0.0,6
car_side,0.2727272727272727,1.0,0.42857142857142855,3
ceiling_fan,0.16666666666666666,0.16666666666666666,0.16666666666666666,6
cellphone,0.3,0.3333333333333333,0.3157894736842105,9
chair,0.0,0.0,0.0,5
chandelier,0.11764705882352941,0.3333333333333333,0.17391304347826086,6
cougar_body,0.0,0.0,0.0,2
cougar_face,0.0,0.0,0.0,3
crab,0.0,0.0,0.0,4
crayfish,0.0,0.0,0.0,6
crocodile,0.0,0.0,0.0,7
crocodile_head,0.18181818181818182,0.4,0.25,10
cup,0.0,0.0,0.0,9
dalmatian,0.4,0.3333333333333333,0.36363636363636365,6
dollar_bill,0.25,0.6666666666666666,0.36363636363636365,3
dolphin,0.3333333333333333,0.4,0.36363636363636365,5
dragonfly,0.0,0.0,0.0,8
electric_guitar,0.3333333333333333,0.125,0.18181818181818182,8
elephant,0.0,0.0,0.0,4
emu,0.09090909090909091,0.16666666666666666,0.11764705882352941,6
euphonium,0.5,0.75,0.6,4
ewer,1.0,0.125,0.2222222222222222,8
faces,0.375,0.6,0.46153846153846156,5
faces_easy,0.625,0.5555555555555556,0.5882352941176471,9
ferry,0.2,0.5,0.2857142857142857,6
flamingo,0.5,0.14285714285714285,0.2222222222222222,7
flamingo_head,0.0,0.0,0.0,8
garfield,1.0,0.14285714285714285,0.25,7
gerenuk,0.0,0.0,0.0,5
gramophone,0.0,0.0,0.0,7
grand_piano,0.16666666666666666,0.2,0.18181818181818182,5
hawksbill,0.5,0.5,0.5,6
headphone,0.0,0.0,0.0,4
hedgehog,0.0,0.0,0.0,6
helicopter,0.0,0.0,0.0,5
ibis,0.16666666666666666,0.25,0.2,4
inline_skate,1.0,1.0,1.0,4
joshua_tree,0.25,0.2,0.2222222222222222,5
kangaroo,0.16666666666666666,0.125,0.14285714285714285,8
ketch,0.3333333333333333,0.14285714285714285,0.2,7
lamp,0.0,0.0,0.0,5
laptop,0.25,0.25,0.25,8
leopards,0.10526315789473684,1.0,0.19047619047619047,2
llama,0.25,0.16666666666666666,0.2,6
lobster,0.0,0.0,0.0,5
lotus,1.0,0.2222222222222222,0.36363636363636365,9
mandolin,0.0,0.0,0.0,5
mayfly,0.0,0.0,0.0,10
menorah,0.0,0.0,0.0,5
metronome,0.5,0.25,0.3333333333333333,8
minaret,0.75,0.42857142857142855,0.5454545454545454,7
motorbikes,0.22727272727272727,0.8333333333333334,0.35714285714285715,6
nautilus,0.0,0.0,0.0,6
octopus,0.0,0.0,0.0,6
okapi,0.09433962264150944,0.7142857142857143,0.16666666666666666,7
pagoda,0.75,0.6,0.6666666666666666,5
panda,0.0,0.0,0.0,9
pigeon,0.5,0.2857142857142857,0.36363636363636365,7
pizza,0.06666666666666667,0.2,0.1,5
platypus,0.0,0.0,0.0,4
pyramid,0.2222222222222222,0.2857142857142857,0.25,7
revolver,0.5,0.2,0.2857142857142857,10
rhino,0.0,0.0,0.0,2
rooster,0.75,0.375,0.5,8
saxophone,0.0,0.0,0.0,7
schooner,0.23529411764705882,1.0,0.38095238095238093,4
scissors,0.0,0.0,0.0,4
scorpion,0.0,0.0,0.0,7
sea_horse,0.0,0.0,0.0,6
snoopy,0.5,0.3333333333333333,0.4,3
soccer_ball,0.0,0.0,0.0,7
stapler,0.75,0.2727272727272727,0.4,11
starfish,0.3333333333333333,0.1111111111111111,0.16666666666666666,9
stegosaurus,0.3333333333333333,0.2,0.25,5
stop_sign,0.6,0.5,0.5454545454545454,6
strawberry,0.2,0.16666666666666666,0.18181818181818182,6
sunflower,0.0,0.0,0.0,7
tick,0.0,0.0,0.0,6
trilobite,0.4,0.5,0.4444444444444444,8
umbrella,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
watch,0.5714285714285714,0.4444444444444444,0.5,9
water_lilly,0.0,0.0,0.0,5
wheelchair,0.3333333333333333,0.1111111111111111,0.16666666666666666,9
wild_cat,0.1,0.5,0.16666666666666666,2
windsor_chair,0.4,0.5,0.4444444444444444,4
wrench,0.15384615384615385,1.0,0.26666666666666666,2
yin_yang,0.3333333333333333,0.8,0.47058823529411764,5
